"state","union_any","dem_proportion","rep_proportion","other_proportion","year"
"Connecticut","union_hh_no",0.604465822592901,0.35650361979386,0.039030557613239,2020
"Connecticut","union_hh_yes",0.597107679891961,0.383022014623936,0.0198703054841038,2020
"Delaware","union_hh_no",0.645348642394743,0.32573530627363,0.0289160513316274,2020
"Delaware","union_hh_yes",0.49051810615542,0.491028375293287,0.0184535185512933,2020
"District of Columbia","union_hh_no",0.908530002974667,0.0836687923824336,0.00780120464289944,2020
"District of Columbia","union_hh_yes",0.960668714048756,0.0172688965676255,0.0220623893836182,2020
"Florida","union_hh_no",0.491326775726822,0.496619095363904,0.0120541289092739,2020
"Florida","union_hh_yes",0.495205597923748,0.490069572034063,0.0147248300421882,2020
"Georgia","union_hh_no",0.502568995229717,0.482030764969137,0.0154002398011457,2020
"Georgia","union_hh_yes",0.491732814906012,0.496116819334156,0.0121503657598324,2020
"Hawaii","union_hh_no",0.741122265628503,0.246195292620249,0.0126824417512478,2020
"Hawaii","union_hh_yes",0.561865453703306,0.412824594485172,0.0253099518115227,2020
"Idaho","union_hh_no",0.36531444601581,0.617899272246555,0.0167862817376348,2020
"Idaho","union_hh_yes",0.256948404960559,0.711312461049282,0.031739133990159,2020
"Illinois","union_hh_no",0.564880954173609,0.415910469141614,0.0192085766847767,2020
"Illinois","union_hh_yes",0.592305819324267,0.384257551896556,0.0234366287791767,2020
"Indiana","union_hh_no",0.358293019151544,0.62121785338132,0.0204891274671351,2020
"Indiana","union_hh_yes",0.476627133544857,0.505535381065428,0.0178374853897152,2020
"Iowa","union_hh_no",0.409515186422255,0.562297585208806,0.028187228368939,2020
"Iowa","union_hh_yes",0.479649779195989,0.505925829962952,0.0144243908410592,2020
"Kansas","union_hh_no",0.424129572479261,0.558543247887605,0.0173271796331334,2020
